item_cat,item_name,item_price,prod_url,path,vector
sofa,"FLYBACKEN-three-seat sofa-bed, Vissle grey-70322219",3290.0,https://www.ikea.com.hk/en/products/sofas-and-armchairs/sofa-beds/flybacken-art-70322219,ikeadata/sofa/0.jpg,"[  0.       0.       0.       0.      89.798    0.       0.       0.
   0.      44.475    0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.     178.22     0.       0.       0.       0.
 142.53     0.       0.       0.       0.       0.      62.396  387.76
   0.      75.522    0.     152.39     0.       0.       0.       0.
   0.       0.       0.       0.       0.      66.739   57.631    0.
 120.53     0.      41.264    0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.     232.32     0.       0.       0.       0.       0.      41.545
 153.17     0.       0.      19.576    0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.      31.242
   0.       0.       0.       0.       0.       0.       0.      46.887
   0.       4.7358   0.       0.       0.       0.      85.094    0.
   0.       0.      10.535    0.       0.       0.       0.      58.64
  84.606    0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.     126.88
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.      98.802    0.       0.      61.727   93.412
   0.       0.       0.       0.       0.       0.       0.       0.
 193.31     0.       0.      18.008   50.04     0.       0.       0.
 131.4      0.       0.       0.     417.72     0.     123.58    14.773
   0.       0.       0.       0.       0.       0.     153.12     0.
   0.       0.       0.       0.       0.       0.      98.026    0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.      32.17     0.       0.
   4.9921   0.       0.       0.       0.       0.       0.       0.    ]"
sofa,"FRIHETEN-three-seat sofa-bed with storage, Skiftebo dark grey-30341149",3490.0,https://www.ikea.com.hk/en/products/sofas-and-armchairs/sofa-beds/friheten-art-30341149,ikeadata/sofa/1.jpg,"[  0.       0.       0.       0.      32.872    0.       0.       0.
   0.      33.15     0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.     170.65     0.       0.       0.       0.
  55.026    0.       0.       0.       0.       0.      69.424  459.97
   0.      91.041    0.     183.15     0.       0.       0.       0.
   0.       0.       0.       0.       0.     135.08   142.93    84.225
  65.475    0.      43.448    0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.     188.74     0.       0.       0.       0.       0.       7.0913
 143.02     0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.      41.575
   0.      46.873    0.       0.       0.       0.       0.       0.
   0.       0.       4.3237   0.       0.       0.       0.       0.
 152.51     0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.      58.775
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.      74.057    0.       0.      43.01    49.746
   0.       0.       0.       0.       0.       0.       0.       0.
  98.674    0.       0.     121.51    83.798    0.       0.       0.
  43.795    0.       0.      14.12   446.08     0.     161.11    43.913
   0.       0.       0.       0.       0.       0.     250.29     0.
   0.       0.       0.       0.       0.       0.     157.91     0.
   0.       0.      23.718    0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.      34.893    0.       0.
   0.      11.523    0.       0.       0.       0.       0.       0.    ]"
sofa,"FRIHETEN-corner sofa-bed with storage, Skiftebo blue-9297558",3990.0,https://www.ikea.com.hk/en/products/sofas-and-armchairs/sofa-beds/friheten-spr-09297558,ikeadata/sofa/2.jpg,"[  0.       0.       0.       0.     165.89     0.       0.       0.
   0.      55.891    0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.     118.3      0.       0.       0.       0.
  81.856    0.       0.       6.0015   0.       0.      52.583  466.89
   0.      89.383    0.     277.75     0.       0.       0.       0.
   0.       0.       0.       0.       0.     186.31    92.179   39.441
   0.       0.     145.88     0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.     128.13     0.       0.       0.     197.       0.       8.7655
 382.3      0.       0.      63.143    0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.      70.823
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.      34.783    0.       0.       0.       0.       0.
 189.41     0.      38.88     0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.      45.21     0.       0.
   0.       0.       0.       0.       0.       0.       0.     213.96
   0.       0.      60.941    0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       6.5961   0.       0.      43.201    0.
   0.      39.693    0.       0.       0.       0.       0.       0.
  94.139    0.       0.     159.84   134.14     0.       0.       0.
 228.91     0.       0.       0.     455.25     0.     273.24   209.38
   0.       0.       0.       0.       0.       0.     102.62     0.
   0.       0.       0.       0.       0.       0.     213.41     0.
   0.       0.      96.93     0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
  78.341    4.4023 121.6      0.       0.       0.       0.       0.    ]"
sofa,"FRIHETEN-3-seat sofa-bed with storage, skiftebo blue-10431565",3490.0,https://www.ikea.com.hk/en/products/sofas-and-armchairs/sofa-beds/friheten-art-10431565,ikeadata/sofa/3.jpg,"[  0.       0.       0.       0.      49.416    0.       0.       9.1565
   0.      58.772    0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.     107.54     0.       0.       0.       0.
  60.927    0.       0.       0.       0.       0.     166.48   424.5
   0.      79.349    0.     162.9      0.       0.       0.       0.
   0.       0.       0.       0.       0.     158.      92.366   94.551
   0.       0.      86.577    0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.     193.26     0.       0.       0.       0.       0.       0.
 127.08     0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.      42.387
   0.      61.652    0.       0.       0.       0.       0.       0.
   0.       0.       3.8547   0.       0.       0.       0.       0.
 132.85     0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.     101.2
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.      15.104    0.       0.      79.58     0.
   0.       0.       0.       0.       0.       0.       0.       0.
 133.36     0.       0.     124.45    47.758    0.       0.       0.
  22.369    0.       0.      55.5    365.23     0.     102.76    57.11
   0.       0.       0.       0.       0.       0.     171.58     0.
   0.       0.       0.       0.       0.       0.     183.1      0.
   0.       0.      64.837    0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.      13.884    0.       0.
   0.       8.7223   0.       0.       0.       0.       0.       0.    ]"
sofa,"LYCKSELE MURBO-chair-bed, Vallarum grey-69134139",1700.0,https://www.ikea.com.hk/en/products/sofas-and-armchairs/sofa-beds/lycksele-murbo-spr-69134139,ikeadata/sofa/4.jpg,"[  0.       0.       0.       0.      72.971    0.       0.       0.
   6.8759   0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
 227.7      0.       0.       0.       0.       0.       8.0504 138.08
   0.     142.       0.     197.84     0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
  15.536    0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.      35.305    0.       0.       0.       0.
   0.       0.       0.     117.37     0.      53.727    0.       0.
   0.       0.       0.     266.46     0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.     138.79
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.     163.35
 239.35     0.      60.427    0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.      55.309    0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.     253.06     0.      63.495  103.91     0.
   1.4612   0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.      81.284    0.       0.       0.       0.
  77.455    0.       0.       0.       0.       0.     142.45     0.
   0.       0.       0.       0.       0.      33.639   11.797   13.593
   0.       0.       0.       0.       0.       0.     163.85     0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.      14.345    0.       0.
 205.1      0.       0.       0.       0.       0.      96.282    0.    ]"
sofa,FRIHETEN csb+stor Hyllie dark grey AP,4790.0,https://www.ikea.com.hk/en/products/sofas-and-armchairs/sofa-beds/friheten-spr-99297568,ikeadata/sofa/5.jpg,"[  0.        0.        0.        0.      107.92      0.        0.
   0.        0.       31.765     0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
 104.32      0.        0.        0.        0.       78.212     0.
   0.        0.57195   0.        0.       53.522   479.25      0.
  58.578     0.      293.99      0.        0.        0.        0.
   0.        0.        0.        0.        0.      154.16    101.08
   0.       32.547     0.       72.864     0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.      101.82      0.        0.
   0.      214.01      0.        9.6481  402.15      0.        0.
  52.151     0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.       88.09
   0.        0.        0.        0.        0.        0.        0.
   7.9254    0.        0.       56.238     0.        0.        0.
   0.        0.      204.55      0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.       15.874     0.        0.        0.        0.        0.
   0.        0.        0.        0.      240.05      0.        0.
  31.004     0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.       65.273     0.
   0.       49.429     0.        0.       36.744     0.        0.
   0.        0.        0.        0.       65.482     0.        0.
 166.47    128.46      0.        0.        0.      232.66      0.
   0.       16.19    470.66      0.      275.55    202.2       0.
   0.        0.        0.        0.        0.      111.31      0.
   0.        0.        0.        0.        0.        0.      248.27
   0.        0.        0.       43.56      0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.      117.1       3.1552   62.433     0.
   0.        0.        0.        0.     ]"
sofa,"NYHAMN-3-seat sofa-bed, with foam mattress/Knisa grey/beige-19306369",1990.0,https://www.ikea.com.hk/en/products/sofas-and-armchairs/sofa-beds/nyhamn-spr-19306369,ikeadata/sofa/6.jpg,"[  0.        0.       23.229     0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
  42.069     0.        0.        0.        0.        1.1431    0.
   0.        0.        0.        0.       60.942   253.22      0.
  19.443     0.      140.38      0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.       59.01
  44.899   164.51      0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.      172.88      0.        0.
   0.        0.        0.        0.       10.626     0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        4.5878
   0.        0.80788   0.        0.        0.       12.655     0.
   0.        0.      204.69    174.86      0.        0.        0.
   0.       28.891   175.15      0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.       13.998     0.
   0.        0.        0.        0.      187.06      0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.       12.128     0.        0.
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.       24.188     0.      314.7       0.
   0.       38.727    36.766     0.        0.        0.        0.
   0.        0.        0.        0.      104.6       0.        0.
 167.15     74.338     0.        0.        0.        0.        0.
   0.       37.243   401.36      0.       86.952     0.        0.
   0.        0.        0.        0.        0.      154.42      0.
   0.        0.        0.        0.        0.        0.       67.181
   0.        0.        0.        0.        0.        0.        0.
   0.        0.        0.        0.        0.        0.        0.
  29.25      0.       97.531    15.28      0.        0.        0.
   0.        0.        0.        0.     ]"
sofa,"FRIHETEN-3-seat sofa-bed with storage, hyllie beige-80431717",4390.0,https://www.ikea.com.hk/en/products/sofas-and-armchairs/sofa-beds/friheten-art-80431717,ikeadata/sofa/7.jpg,"[  0.       0.       0.       0.      36.292    0.       0.       0.
   0.      20.698    0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.      85.956    0.       0.       0.       0.
  59.437    0.       0.       0.       0.       0.      49.061  334.36
   0.      39.281    0.     111.64     0.       0.       0.       0.
   0.       0.       0.       0.       0.      90.208  103.68    23.136
  42.095    0.       8.4398   0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.     137.38     0.       0.       0.       0.       0.       0.
  74.585    0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.      54.662
   0.       0.       0.       0.       0.       0.       0.      43.787
   0.      50.514    0.       0.       0.       0.       0.      11.709
   0.       0.      11.115    0.       0.       0.       0.      31.552
 106.55     0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.      97.061
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.      80.906    0.       0.       0.      58.297
   0.       0.       0.       0.       0.       0.       0.       0.
  98.722    0.       0.      71.085   82.189    0.       0.       0.
  57.794    0.       0.      31.443  335.81     0.      95.956   42.159
   0.       0.       0.       0.       0.       0.     176.69     0.
   0.       0.       0.       0.       0.       0.     128.11     0.
   0.       0.       0.       0.       0.       0.       0.       0.
   0.       0.       0.       0.       0.      11.672    0.       0.
   0.       0.       0.       0.       0.       0.       0.       0.    ]"
sofa,"FRIHETEN-corner sofa-bed with storage, Bomstad black-29216820",4990.0,https://www.ikea.com.hk/en/products/sofas-and-armchairs/sofa-beds/friheten-spr-29216820,ikeadata/sofa/8.jpg,"[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 4.9372e+01 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.9187e+01
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.2657e+01 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.3057e+02 3.9386e+02
 0.0000e+00 1.2219e+02 0.0000e+00 5.2451e+01 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 1.3761e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 1.6915e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 5.3706e+01 0.0000e+00 0.0000e+00
 0.0000e+00 1.1894e+02 0.0000e+00 2.2582e+02 0.0000e+00 0.0000e+00
 0.0000e+00 1.1744e+01 0.0000e+00 0.0000e+00 1.8431e+02 0.0000e+00
 0.0000e+00 7.8112e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 9.7595e+01 0.0000e+00 4.5656e+01
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 6.5717e+00 0.0000e+00
 0.0000e+00 1.1464e+01 1.3677e+01 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 6.8741e+01 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 6.9134e+01 0.0000e+00 0.0000e+00 6.1108e+01 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 8.4489e+01 0.0000e+00 0.0000e+00 2.1817e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 9.5081e+01 0.0000e+00 0.0000e+00 1.0314e+02
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.5231e+01 0.0000e+00
 0.0000e+00 0.0000e+00 4.1715e+02 0.0000e+00 1.2361e+02 3.1614e+01
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 5.7877e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 1.7198e+02 0.0000e+00 0.0000e+00 0.0000e+00
 4.0379e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 1.6607e+01 3.7978e-01 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]"
sofa,"VALLENTUNA-sofa-bed module, Murum white-417843",2590.0,https://www.ikea.com.hk/en/products/sofas-and-armchairs/sofa-beds/vallentuna-art-00417843,ikeadata/sofa/9.jpg,"[0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 9.9084e+01 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2753e+02 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 5.0299e+01
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.2455e+01 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.5558e+02 1.2427e+02
 0.0000e+00 1.1795e+02 0.0000e+00 4.1582e+01 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 1.1518e+02 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 6.5895e+01 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 1.1060e+02 0.0000e+00 6.1185e+01
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 1.2098e+02 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.7274e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 1.2532e-01 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 2.0810e+01 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 1.0419e+02 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 4.0244e+01 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 2.4253e+01 2.3743e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 7.1450e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 2.1417e+01 0.0000e+00 0.0000e+00 1.7132e+01 0.0000e+00
 3.5938e+01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 5.0108e+01 0.0000e+00 0.0000e+00 0.0000e+00
 1.9542e+01 0.0000e+00 0.0000e+00 0.0000e+00 7.3311e+01 0.0000e+00
 0.0000e+00 4.6069e+01 6.9069e+01 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 5.7287e+01 0.0000e+00 1.3123e+01 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 2.2907e+02 0.0000e+00 0.0000e+00 0.0000e+00
 5.8201e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 2.6711e+01
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00]"
